,SUPPLIER NAME,ITEM DESCRIPTION,UNIT OF MEASURE,TOTAL QUANTITY,PAYMENT AMOUNT
48,G-MERV,Masks Surgical/medical,Each,200 000,R 4 600 000.00
49,G-MERV,Masks Surgical/medical,Each,200 000,R 4 600 000.00
50,HLALU LINDZILE,Masks Surgical/medical,Each,100 000,R 2 645 000.00
51,JAAZIEL,Masks Surgical/medical,Each,50 000,R 1 249 992.50
52,LIORA MEDICAL,Masks Respirator N95/FFP2/KN9  ,Each,2 100,R112 349.82
53,NALA MEDICAL,Gloves examination non-sterile,Pack of 100,100 000,R111 090.00
54,PROMED,Gowns Disposable,Each,1 500,R35 057.74
55,RESMED,Hand Sanitizers,500ml,6 000,R317 400.00
56,RESMED,Hand Sanitizers,500ml,480,R25 392.00
57,RESMED,Hand Sanitizers,500ml,6 012,R318 034.80
58,RESMED,Hand Sanitizers,500ml,2 988,R158 065.20
59,RESMED,Hand Sanitizers,500ml,3 024,R159 969.60
60,SILVER FALLS,Masks Surgical/medical,Each,23 000,R608 350.00
61,SILVER FALLS,Masks Surgical/medical,Each,168 000,R 4 443 600.00
62,SILVER FALLS,Masks Surgical/medical,Each,166 000,R 4 390 700.00
63,UHURUWANKHA,Masks Surgical/medical,Each,1 000,R40 000.00
64,UMNDENI,Masks Surgical/medical,Each,5 000,R112 527.50
65,UNITRADE,Hand Sanitizers,500ml,1 500,R93 150.00
66,HLALU LINDZILE,Masks Surgical/medical,Each,150 000,R 3 967 500.00
67,NKABO WATER,Masks Surgical/medical,Each,100 000,R 2 607 970.00
68,NKABO WATER,Masks Surgical/medical,Each,150 000,R 3 911 955.00
69,QUALITYMEDICAL SUPPLIES,Goggles,Each,35 000,R 2 275 000.00
70,VIOMED,Hand Sanitizers,5l,440,R80 960.00
71,WINIMED,Hand Sanitizers,50ml,2 000,R27 646.00
72,BCN MEDICAL,Masks Surgical/medical,Each,100 000,R 2 127 500.00
73,BIOSURGE,Boot covers,Pack of 100,142 000,R128 706.55
74,HLALU LINDZILE,Masks Surgical/medical,Each,100 000,R 2 645 000.00
75,HLALU LINDZILE,Masks Surgical/medical,Each,150 000,R 3 967 500.00
76,NKABO WATER,Masks Surgical/medical,Each,150 000,R 3 911 955.00
77,QUALITYMEDICAL SUPPLIES,Masks Surgical/medical,Each,290 000,R 3 001 500.00
78,QUALITYMEDICAL SUPPLIES,Masks Surgical/medical,Each,100 000,R 1 035 000.00
79,RESMED,Hand Sanitizers,500ml,6 984,R369 453.60
80,RESMED,Hand Sanitizers,500ml,1 080,R57 132.00
81,RESMED,Hand Sanitizers,500ml,4 732,R250 322.80
82,UHURUWANKHA,Masks Surgical/medical,Each,99 000,R 3 960 000.00
83,UHURUWANKHA,Masks Surgical/medical,Each,100 000,R 4 000 045.00
84,UHURUWANKHA,Masks Surgical/medical,Each,100 000,R 4 000 045.00
85,UHURUWANKHA,Masks Surgical/medical,Each,100 000,R 4 000 045.00
86,UNITRADE,Hand Sanitizers,500ml,2 000,R124 200.00
87,BCN MEDICAL,Masks Surgical/medical,Each,29 100,R619 102.50
88,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,300 000,R343 792.50
89,EVERGREEN,Gloves examination non-sterile,Pack of 100,300 000,R149 581.65
90,FLOTENK,Masks Surgical/medical,Each,64 000,R 1 472 000.00
91,JAAZIEL,Masks Surgical/medical,Each,50 000,R 1 249 992.50
92,NOZIHLE CLEANING SERVICES,Masks Surgical/medical,Each,100 000,R 2 645 000.00
93,PERFECTRO EXPRESS,Masks Respirator N95/FFP2/KN9  ,Each,50 000,R 3 737 500.00
94,PERFECTRO EXPRESS,Masks Respirator N95/FFP2/KN9  ,Each,40 090,R 2 996 727.50
95,SIFISO SIYAFEZEKA TRADING,Masks Surgical/medical,Each,110 000,R 2 419 945.00
96,TARA HEALTH CARE,Face Shield/ Visors,Each,10 000,R895 505.00
97,YOLO,Coveralls,Each,4 000,R 1 043 638.80
98,1 STOP MEDICAL,Aprons,Each,400,R23 000.00
99,BARRS,Hand Sanitizers,500ml,4 000,R57 747.76
100,BIOTECH  ,Hand Sanitizers,500ml,10 000,R690 000.00
101,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,400 000,R383 226.00
102,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,880 000,R843 097.20
103,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,819 000,R784 655.24
104,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,681 000,R649 568.07
105,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,10 500,R56 174.63
106,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,10 500,R56 174.63
107,MULTISURGE  ,Masks Surgical/medical,Each,184 000,R 2 208 000.00
108,MULTISURGE  ,Masks Surgical/medical,Each,100 000,R 1 380 000.00
109,SILVER FALLS ,Masks Surgical/medical,Each,143 000,R 3 782 350.00
110,TARA HEALTH CARE,Masks Surgical/medical,Each,50 000,R 2 349 967.50
111,TARA HEALTH CARE,Masks Surgical/medical,Each,20 000,R939 980.00
112,TARA HEALTH CARE,Face Shield/ Visors,Each,5 000,R447 752.50
113,TUWO RHODESIA ,Masks Surgical/medical,Each,60 000,R 1 079 988.00
114,UNITRADE  ,Hand Sanitizers,500ml,1 640,R101 844.00
115,VIGARIO  ,Masks Surgical/medical,Each,300 000,R 3 346 500.00
116,YOLO  ,Coveralls,Each,2 000,R521 819.40
117,YOLO  ,Coveralls,Each,10 000,R 2 609 097.00
118,YOLO  ,Coveralls,Each,8 000,R 2 087 277.60
119,YOLO  ,Coveralls,Each,6 000,R 1 565 458.20
120,BIOTECH  ,Hand Sanitizers,5000ml,151,R24 309.44
121,BIOTECH  ,Hand Sanitizers,5000ml,19,R3 058.80
122,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,216 000,R 4 222 800.00
123,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,319 700,R366 375.56
124,EVERGREEN  ,Gloves examination non-sterile,Pack of 100,400 000,R199 442.20
125,NALA MEDICAL ,Gloves examination non-sterile,Pack of 100,50 000,#REF!
126,SHABATSU  ,Masks Respirator N95/FFP2/KN9  ,Each,100 000,R 4 135 975.00
127,TEPA TRADING AND PROJECTS,Masks Surgical/medical,Each,220 000,R 4 730 088.00
128,UNITRADE  ,Hand Sanitizers,500ml,7 000,R434 700.00
129,VIOMED  ,Hand Sanitizers,500ml,12 288,R438 067.20
130,1 STOP MEDICAL,Aprons,Each,1 500,R86 250.00
131,BARRS  ,Hand Sanitizers,500ml,3 260,R47 074.32
132,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,34 000,R664 700.00
133,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,92 100,R 1 800 555.00
134,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,25 000,R488 750.00
135,QUALITYMEDICAL SUPPLIES ,Masks Surgical/medical,Each,300 000,R 3 105 000.00
136,QUALITYMEDICAL SUPPLIES ,Masks Surgical/medical,Each,160 000,R 1 656 000.00
137,TARA HEALTH CARE,Face Shield/ Visors,Each,25 000,R 2 238 762.50
138,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,74 850,R 1 463 317.50
139,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
140,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
141,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,150 150,R 2 935 432.50
142,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
143,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
144,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
145,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,239 100,R 4 674 405.00
146,INKUNZI HEALTH MANAGEMENT,Masks Surgical/medical,Each,160 000,R 3 199 944.00
147,INKUNZI HEALTH MANAGEMENT,Masks Surgical/medical,Each,40 000,R799 986.00
148,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,R371 737.50
149,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,R371 737.50
150,PERFECTRO EXPRESS ,Masks Respirator N95/FFP2/KN9  ,Each,9 910,R740 772.50
151,TUWO RHODESIA ,Coveralls,Each,12 500,R 3 324 375.00
152,TUWO RHODESIA ,Coveralls,Each,12 500,R 3 324 375.00
153,UNITRADE  ,Hand Sanitizers,500ml,7 860,R487 981.80
154,1 STOP MEDICAL,Aprons,Each,900,R51 750.00
155,BCN MEDICAL ,Boot covers,Each,27 000,R32 602.50
156,BCN MEDICAL ,Gowns Disposable,Each,1 700,R127 075.00
157,BCN MEDICAL ,Gowns Disposable,Each,335,R25 041.25
158,BCN MEDICAL ,Gowns Disposable,Each,200,R14 950.00
159,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,157 900,R 3 086 945.00
160,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,10 900,R213 095.00
161,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
162,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
163,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,35 600,R695 980.00
164,TARA HEALTH CARE,Face Shield/ Visors,Each,20 000,R 1 791 010.00
165,TARA HEALTH CARE,Face Shield/ Visors,Each,20 000,R 1 791 010.00
166,TUWO RHODESIA ,Coveralls,Each,12 500,R 3 324 375.00
167,TUWO RHODESIA ,Coveralls,Each,12 500,R 3 324 375.00
168,UMNDENI  ,Face Shield/ Visors,Each,10 000,R280 000.28
169,1 STOP MEDICAL,Aprons,Each,300,R17 250.00
170,1 STOP MEDICAL,Aprons,Each,300,R17 250.00
171,BARRS  ,Hand Sanitizers,5l,10,R1 599.31
172,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,64 400,R 1 259 020.00
173,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
174,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,235 400,R 4 602 070.00
175,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,R371 737.50
176,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,21 000,R112 349.25
177,MOTHUDI SERVICES ,Gloves surgical,50 Pairs,3 100,R9 145.00
178,MOTHUDI SERVICES ,Gloves surgical,50 Pairs,121 900,R359 605.00
179,QUALITYMEDICAL SUPPLIES ,Face Shield/ Visors,Each,1 000,R65 000.00
180,QUALITYMEDICAL SUPPLIES ,Face Shield/ Visors,Each,3 187,R207 155.00
181,WINIMED  ,Hand Sanitizers,50ml,4 000,R55 292.00
182,IZIKO MEDICAL ,Aprons,Pack of 100,400 000,R261 878.00
183,MOTHUDI SERVICES ,Hand Sanitizers,500ml,10 000,R750 000.00
184,MZIMARI PRODUCTIONS ,Masks Respirator N95/FFP2/KN9  ,Each,100 000,R 3 280 000.00
185,MZIMARI PRODUCTIONS ,Aprons,Pack of 100,100 000,R250 000.00
186,SIYAPHAMBILI DHN PROJECTS,Masks Respirator N95/FFP2/KN9  ,Pack of 10,50 000,R 1 880 000.00
187,BCN MEDICAL ,Coveralls,Each,3 400,R254 150.00
188,BCN MEDICAL ,Coveralls,Each,2 400,R179 400.00
189,BCN MEDICAL ,Coveralls,Each,250,R18 687.50
190,BCN MEDICAL ,Coveralls,Each,150,R11 212.50
191,BCN MEDICAL ,Coveralls,Each,1 500,R112 125.00
192,BCN MEDICAL ,Coveralls,Each,1 000,R74 750.00
193,1 STOP MEDICAL,Aprons,Each,2 000,R115 000.00
194,BARRS  ,Hand Sanitizers,500ml,3 000,R43 319.93
195,BIOTECH  ,Hand Sanitizers,500ml,7 500,R517 500.00
196,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,14 600,R285 430.00
197,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,R 4 887 500.00
198,IZIKO MEDICAL ,Aprons,Pack of 100,600 000,R392 817.00
199,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,620 000,R594 000.30
200,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,1 000 000,R958 065.00
201,MOTHUDI SERVICES ,Hand Sanitizers,500ml,10 000,R749 995.50
202,TEE TEE TRADING (PTY) LTD TEE TRADING,Gowns Disposable,Each,880,R118 360.00
203,1 STOP MEDICAL,Aprons,Each,6 000,R345 000.00
204,BARRS  ,Hand Sanitizers,500ml,5 560,R80 286.26
205,BARRS  ,Hand Sanitizers,500ml,5 680,R82 019.06
206,BCN MEDICAL ,Coveralls,Each,2 400,R179 400.00
207,BCN MEDICAL ,Coveralls,Each,6 450,R482 137.50
208,BCN MEDICAL ,Coveralls,Each,5 000,R373 750.00
209,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
210,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
211,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
212,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,159 550,R 3 330 207.38
213,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,65 450,R 1 366 105.13
214,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
215,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
216,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
217,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,106 200,R 2 216 659.50
218,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,118 800,R 2 479 653.00
219,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
220,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
221,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
222,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,R 4 696 312.50
223,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,200 000,R 4 174 500.00
224,DB MED SUPPLIERS     ,Coveralls,Each,100,R10 637.50
225,EVERGREEN       ,Gloves examination non-sterile,Pack of 100,200 000,R99 721.10
226,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,2 159,R290 385.50
227,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,3 174,R426 903.00
228,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,1 941,R261 064.50
229,VIOMED       ,Hand Sanitizers,500ml,3 000,R106 950.00
230,BCN MEDICAL      ,Coveralls,Each,8 750,R654 062.50
231,BCN MEDICAL      ,Coveralls,Each,7 600,R568 100.00
232,BCN MEDICAL      ,Coveralls,Each,1 000,R74 750.00
233,BCN MEDICAL      ,Boot covers,Pack of 100,13 500,R16 301.25
234,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,180,R24 210.00
235,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,4 650,R28 242.56
236,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,14 700,R 1 977 150.00
237,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,900,R121 050.00
238,TEE TEE TRADING (PTY) LTD   ,Gowns Disposable,Each,1 200,R161 400.00
239,BAFEPI GENERAL ENTERPRISE (PT ,Masks Respirator N95/FFP2/KN9 ,Each,50 000,R 1 840 000.00
240,CLINIPRO (PTY) LTD     ,Masks Surgical/medical,Pack of 50,225 000,R 4 696 312.50
241,LOMA HOLDINGS GROUP (PTY) LTD   ,Coveralls,Each,20 000,R 4 959 996.00
242,MOTHUDI SERVICES      ,Gloves surgical,Pack of 50,73 450,R433 355.00
243,MOTHUDI SERVICES,Gloves  surgical,Pack  of 50,14  050,R433  355.00
244,SIYAPHAMBILI DHN PROJECTS,Gowns  Disposable,Each,3  840,R517  824.00
245,SIYAPHAMBILI DHN PROJECTS,Gowns  Disposable,Each,3  480,R469  278.00
246,CTP  MEDIA,Business  Lowvelder  Express,,,R4  512.60
247,CTP  MEDIA,Business  Lowvelder  Friday Special Rate,,,R4  140.00
248,LOMA  HOLDINGS  GROUP  (PTY)  LTD,A4  Printing  Paper:80g/m2  500 sheets  per  Ream,,2  000,R192  800.00
249,LOMA  HOLDINGS  GROUP  (PTY)  LTD,A3  printing  paper:80g/m2  500 sheets  Per  Ream,,500,R106  260.00
250,LOMA  HOLDINGS  GROUP  (PTY)  LTD,AAA  Batteries,,3  360,R28  694.40
251,LOMA  HOLDINGS  GROUP  (PTY)  LTD,AA  Rechargeable  Batteries,,900,R61  488.00
252,LOMA  HOLDINGS  GROUP  (PTY)  LTD,Permanent Marker,,200,R3  260.00
253,CIVISCENE  (PTY)  LTD,"Mask, Dustmask ",,5  000,R125  000.00
254,ASHVIN SUPPLY &PROJECT,Supply and  Delivery of 4000  AAA Batteries,,4  000,R68  000.00
255,MPUMALANGA  TOURSM  AND  PARK,Accommodation,,141,R826  361.92
256,BHUDLU INVESTMENTS,Cleaning  Chemicals,,,R461  420.10
257,LESOLGA  TRADING,"A4  Printing  Paper:80gsm, 500 sheets  per  ream",,4  000,R408  000.00
258,LESOLGA  TRADING,"A4  Printing  Paper:80gsm, 500 sheets  per  ream",,400,R88  000.00
259,IMPILOLWANDLE  TRADING PTY LTD,A4  Printing  paper(Reams),,4  000,R336  000.00
260,FRC  INVESTMENT,Supply and  Delivery FO AAA Batteries,,700,R11  095.00
261,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,7,R1  894.39
262,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,,R3  437.73
263,THULATSEPO GENERAL  TRADING,Catering  Quarantine  facility at Witbank  Dam,,,R4  246.88
264,MTSAKATSAKA  TRADING (PTY)  LTD,Battery-AAA,,3  600,R215  604.00
265,MTSAKATSAKA  TRADING (PTY)  LTD,Round  neck  lanyards,,3  000,R45  000.00
266,VITAE  ZOE,Digital body Thermometer Infrared  Non Contact,,1  000,R2  280  000.00
267,SHUMELAHAYA  INVESTMENT,"Supply and  delivery of branded backpacks(Adjustable  back straps, front with zip  pocket, polyester  Cleaning  Rental of Hygienematerial)",,7  000,R 1  082  725.00
268,MASHININI'S  TRADING (PTY)  LTD,Cleaning  Equipment,,1,R269  100.00
269,VODACOM,TABLETS,,320,R 1  714  512.00
270,VITAE  ZOE,Digital body Thermometer Infrared  Non Contact,,300,R6  840  000.00
271,GRACIOUS  PROJECT,hand  sanitizer 5litre,,450,R307  912.50
272,GRACIOUS  PROJECT,Themba  fumigation,,1,R60  260.00
273,GRACIOUS  PROJECT,fumigation,,1,R64  285.00
274,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,R75  325.00
275,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,R125  005.00
276,GRACIOUS  PROJECT,Themba  fumigation,,1,R86  135.00
277,GRACIOUS  PROJECT,Clinic  fumigation,,1,R91  885.00
278,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,R59  455.00
279,GRACIOUS  PROJECT,Andova  and  Manyeleti  Fumigation,,1,R50  255.00
280,GRACIOUS  PROJECT,MRTT Fumigation,,1,R48  702.50
281,GRACIOUS  PROJECT,Lowveld,high school  fumigation,1,R  2  021  700.00
282,GRACIOUS  PROJECT,hand  sanitizer  750ml,,10,R1  725.00
283,GRACIOUS  PROJECT,Themba  fumigation,,1,R66  815.00
284,GRACIOUS  PROJECT,Royal  hotel  Fumigation,,1,R109  480.00
285,GRACIOUS  PROJECT,MRTT Fumigation,,1,R59  915.00
286,GRACIOUS  PROJECT,Kwamhlanga  fumigation,,1,R71  357.50
287,GRACIOUS  PROJECT,hand  sanitizer  750ml,,300,R51  750.00
288,GRACIOUS  PROJECT,Amajuba  memorial  fumigating,,2,R431  425.40
289,GRACIOUS  PROJECT,hand  sanitizer  750ml,,700,R120  750.00
290,GRACIOUS  PROJECT,MRTT Fumigation,,1,R10  016.50
291,GRACIOUS  PROJECT,Bhuga  clinic fumigation,,1,R118  335.00
292,GRACIOUS  PROJECT,hand  sanitizer  5  -  litres,5  litres,350,R239  487.50
293,BLEVILLA,Custom  cord  lanyard  material,,7  000,R112  000.00
294,M  G  MANGOBE,Gazebo  branded,,350,R  2  451  000.00
295,EZWANE  TRANSPORT,A3  &  A4  Printing  paper,,2  500,R299  060.00
296,NOTHANDO  GENERAL,Catering,,30,R3  600.00
297,UNCLE  THOLI,Crime  scene  kits,,4  500,R495  000.00
298,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,6  000,R863  880.00
299,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,6  000,R863  880.00
300,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,5  000,R719  900.00
301,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,4  000,R575  920.00
302,CLINIPRO  (PTY)  LTD,Germkill  hand  wash anti  bacterial 1  litre,each,6  000,R863  880.00
303,CLINIPRO  (PTY)  LTD,Germkill  hand  wash anti  bacterial 1  litre,each,1  000,R186  622.00
304,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,each,1  000,R237  291.00
305,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
306,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,700,R100  786.00
307,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
308,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
309,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
310,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
311,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
312,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
313,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,R210  588.00
314,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,R210  588.00
315,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,R210  588.00
316,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,R210  588.00
317,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,80,R210  588.00
318,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
319,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
320,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
321,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
322,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R215  970.00
323,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R215  970.00
324,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R215  970.00
325,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R215  970.00
326,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,R143  970.00
327,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R215  970.00
328,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
