Taylor Bequest Hospital: Matatiele,24923284.73,,,,,,,,
Imbono Architects,24923284.73,,,,,,,,
Winterberg TB Hospital,3548491.75,,,,,,,,
Pandani Construction,3548491.75,,,,,,,,
(blank),,,,,,,,,
(blank),,,,,,,,,
July,298410304.41,,,,,,,,
Adelaide Hospital,5171922.09,,,,,,,,
Thowamvu Trading,5171922.09,,,,,,,,
Bambisana Hospital,761910.00,,,,,,,,
Cape to Cairo Investments Pty Ltd,761910.00,,,,,,,,
Bambisana Hospital: Covered walkway,458160.00,,,,,,,,
Phumelela Consultancy,458160.00,,,,,,,,
Bedford Hospital,4754442.65,,,,,,,,
Enkosi Mandela Dev,4754442.65,,,,,,,,
Bhisho Hospital,6998594.22,,,,,,,,
BNN Construction/ Sage Wise 1221,6998594.22,,,,,,,,
Burgersdorp Hospital,3536556.26,,,,,,,,
Lakhaza Construction,3536556.26,,,,,,,,
Butterworth Nurses Home Hospital,7890541.00,,,,,,,,
Avumile Business Investments,7890541.00,,,,,,,,
Cala Hospital,6772937.54,,,,,,,,
Lathitha Construction & Services,6772937.54,,,,,,,,
Canzibe Hospital,8848725.00,,,,,,,,
Intlangule 86 Trading cc,8848725.00,,,,,,,,
Dora Nginza,33548878.85,,,,,,,,
Willie Greef Trust,33548878.85,,,,,,,,
Dordrecht Hospital,4805144.45,,,,,,,,
Khumbeni Construction and Trading,4805144.45,,,,,,,,
Duncan Village Clinic,1144671.80,,,,,,,,
ECY Construction,1144671.80,,,,,,,,
Frere Hospital,48818261.23,,,,,,,,
SQT Construction and Civils,48818261.23,,,,,,,,
Isilimela Hospital,5714475.40,,,,,,,,
Konstruct SGN Pty Ltd,5714475.40,,,,,,,,
Komani Hospital,13726961.67,,,,,,,,
Vitsha Trading cc,13726961.67,,,,,,,,
Komga Hospital,3394371.86,,,,,,,,
NLG Group,3394371.86,,,,,,,,
Lady Grey Hospital,4929092.00,,,,,,,,
Iinchali Trading cc,4929092.00,,,,,,,,
Madzikane Ka Zulu,1944855.20,,,,,,,,
LKG Group,1944855.20,,,,,,,,
Majorie Parrish Hospital,7012254.95,,,,,,,,
Star Time Trading cc,7012254.95,,,,,,,,
Medical Gas: Cecelia Makiwane Hospital,1134799.88,,,,,,,,
Bull and Bush Engineering,1134799.88,,,,,,,,
Mjanyane Hospital,6783551.21,,,,,,,,
Nobantu Contracting and Projects,6783551.21,,,,,,,,
Mthatha General Hospital,48365041.80,,,,,,,,
TICA Consultants Pty Ltd,48365041.80,,,,,,,,
Nkqubela Hospital,4838909.92,,,,,,,,
Botani Construction,4838909.92,,,,,,,,
Sawas Hospital,8569718.70,,,,,,,,
Lezmin 1204,8569718.70,,,,,,,,
Siphethu Hospital,14470536.00,,,,,,,,
Siza Kancane Trading Enterprise 72,14470536.00,,,,,,,,
Sir Henry Phase II,6880804.00,,,,,,,,
Freemason Construction,6880804.00,,,,,,,,
St Elizabeth Hospital,2938542.00,,,,,,,,
Zeezee Khula Trading Pty Ltd,2938542.00,,,,,,,,
Steynsburg Hospital,14875999.80,,,,,,,,
Kinex Power Projects,14875999.80,,,,,,,,
Stutterheim Hospital,11587843.72,,,,,,,,
Safika Construction,11587843.72,,,,,,,,
Tafalofefe Hospital,4735746.00,,,,,,,,
Imivuzo Trading,4735746.00,,,,,,,,
Threater: Nelson Mandela Academic,2996055.21,,,,,,,,
Zandla Ezishushu Group,2996055.21,,,,,,,,
(blank),,,,,,,,,
(blank),,,,,,,,,
Grand Total,582069648.25,,,,,,,,
Month,Total Amount,,,,,,,,
April,55194400.84,,,,,,,,
May,136743399.55,,,,,,,,
June,91721543.45,,,,,,,,
July,298410304.41,,,,,,,,
Grand Total,582069648.25,,,,,,,,
